ticker,Cluster,roe,debt_to_equity,profit_margins,beta,market_cap,net_income,total_equity,total_debt,scaled_roe,scaled_debt_to_equity,mercado,k
NVDA,1,1.09417,10.584,0.52414,2.123,4567983980544,72880000000.0,79327000000.0,32274000000.0,0.5449544639516445,0.0,USA,5
TSLA,0,0.08177,16.823,0.063439995,2.086,1429249589248,7130000000.0,73680000000.0,48390000000.0,0.0,0.010945479616916987,USA,5
META,0,0.40647998,25.406,0.39992002,1.203,1785027362816,62360000000.0,182637000000.0,93417000000.0,0.1747848213064492,0.02600318943451571,USA,5
BRK-B,0,0.099139996,18.95,0.16997999,0.77,1076361297920,88995000000.0,651655000000.0,502226000000.0,0.009349917877343156,0.014677012738440055,USA,5
JPM,0,0.16211,64.8515,0.34524,1.127,852506181632,58471000000.0,344758000000.0,3658056000000.0,0.043245398690117655,0.09520497116702076,USA,5
V,0,0.51755,65.017,0.52158,0.897,679019151360,19743000000.0,39137000000.0,55374000000.0,0.234571568847143,0.09549531847854499,USA,5
JNJ,0,0.30212,64.686,0.25004998,0.392,454309052416,14066000000.0,71490000000.0,108614000000.0,0.11860995271804115,0.09491462385549652,USA,5
WMT,0,0.23375,68.719,0.03079,0.671,813788889088,19436000000.0,97692000000.0,163131000000.0,0.08180776316808666,0.10198997556170361,USA,5
UNH,0,0.21653,75.577,0.05037,0.478,326223626240,14405000000.0,102591000000.0,195687000000.0,0.07253858510679928,0.11402140675465389,USA,5
LLY,4,0.86291003,217.891,0.25911,0.461,752907124736,10590000000.0,14271600000.0,64443300000.0,0.4204718948240038,0.3636920248347827,USA,5
XOM,0,0.118310004,14.442,0.09404001,0.484,482855387136,33680000000.0,270606000000.0,182869000000.0,0.01966874584414357,0.006768337932692055,USA,5
MA,1,1.7694701,240.919,0.44926,0.967,524733677568,12874000000.0,6515000000.0,41566000000.0,0.90845486300537,0.4040915287005248,USA,5
PG,0,0.31242,69.861,0.18952999,0.364,356385718272,15974000000.0,52284000000.0,72947000000.0,0.12415423460138952,0.10399345972944192,USA,5
HD,2,1.9395399,580.591,0.08863,1.001,393237430272,14806000000.0,6640000000.0,89479000000.0,1.0,0.9999999999999999,USA,5
BAC,0,0.0946,64.8515,0.28514,1.334,375087792128,27132000000.0,295559000000.0,2965960000000.0,0.006906129763433036,0.09520497116702076,USA,5
DIS,0,0.1146,37.152,0.12219,1.542,202213621760,4972000000.0,105522000000.0,90697000000.0,0.017671725653429955,0.04660995391284668,USA,5
NFLX,0,0.43548,67.866,0.24579,1.593,490076012544,8711631000.0,24743567000.0,28886807000.0,0.19039494611254063,0.10049350271137021,USA,5
ADBE,0,0.52875,56.542,0.30012,1.49,145145364480,5560000000.0,14105000000.0,16125000000.0,0.24060030254554135,0.08062708001831556,USA,5
CRM,0,0.11201999,19.255,0.16868,1.195,228822728704,6197000000.0,61173000000.0,41755000000.0,0.01628295840082241,0.015212093886566302,USA,5
CSCO,0,0.22059,63.282,0.17969,0.966,268501139456,10180000000.0,46843000000.0,75448000000.0,0.07472400107246868,0.09245149620969566,USA,5
NKE,0,0.21122,82.128,0.062340003,1.298,106327023616,3219000000.0,13213000000.0,23366000000.0,0.06968031939800509,0.1255142480706377,USA,5
KO,0,0.42369998,166.367,0.25887,0.424,286839439360,10631000000.0,26372000000.0,74177000000.0,0.18405399936773653,0.2733001524542681,USA,5
